tipo,algoritmo,linguagem,variante,tamanho,execucao,energia_j,energia_cores_j,energia_ram_j,duracao_s,user_time_s,system_time_s,potencia_w,energia_por_elemento_j
exec,bolha,rust,v2,100000,5,"87,12","61,73","16,14","15,122455","15,12",0,"5,761","0,0008712"
exec,bolha,rust,v2,100000,6,"87,82","62,27","16,14","15,119598","15,105","0,012","5,8084","0,0008782"
exec,bolha,rust,v2,100000,7,"87,07","61,71","16,12","15,111195","15,101","0,008","5,762","0,0008707"
exec,bolha,rust,v2,100000,8,"87,24","61,79","16,12","15,118578","15,114",0,"5,7704","0,0008724"
exec,bolha,rust,v2,100000,9,"88,09","62,62","16,21","15,147268","15,14","0,004","5,8156","0,0008809"
exec,bolha,rust,v2,100000,10,"86,93","61,55","16,15","15,127675","15,117","0,008","5,7464","0,0008693"
exec,insertion,go,v1,10,1,"0,02","0,01","0,01","0,002617",0,0,"7,6433","0,002"
exec,insertion,go,v1,10,2,"0,02","0,01","0,01","0,002489",0,0,"8,0339","0,002"
exec,insertion,go,v1,10,3,"0,02","0,01","0,01","0,002599",0,0,"7,695","0,002"
exec,insertion,go,v1,10,4,"0,01","0,01",0,"0,002864",0,0,"3,4911","0,001"
exec,insertion,go,v1,10,5,"0,02","0,01","0,01","0,002595",0,0,"7,7059","0,002"
exec,insertion,go,v1,10,6,"0,02","0,01","0,01","0,002728",0,0,"7,332","0,002"
exec,insertion,go,v1,10,7,"0,02","0,01","0,01","0,002846",0,0,"7,0263","0,002"
exec,insertion,go,v1,10,8,"0,02","0,01","0,01","0,00275",0,0,"7,2726","0,002"
exec,insertion,go,v1,10,9,"0,02","0,01","0,01","0,003335",0,0,"5,9969","0,002"
exec,insertion,go,v1,10,10,"0,02","0,01","0,01","0,002958",0,0,"6,762","0,002"
exec,insertion,go,v1,100,1,"0,02","0,01","0,01","0,002948",0,0,"6,7853","0,0002"
exec,insertion,go,v1,100,2,"0,03","0,02","0,01","0,004329",0,0,"6,9293","0,0003"
exec,insertion,go,v1,100,3,"0,02","0,01","0,01","0,003283",0,0,"6,0925","0,0002"
exec,insertion,go,v1,100,4,"0,03","0,02","0,01","0,003418",0,0,"8,7765","0,0003"
exec,insertion,go,v1,100,5,"0,02","0,01","0,01","0,003178",0,0,"6,293","0,0002"
exec,insertion,go,v1,100,6,"0,02","0,01","0,01","0,003105",0,0,"6,4418","0,0002"
